,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,001 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,001 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,001 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
AZ,Pinal,Florence,7/28/12,,"$10,884","$3,449",$583,"$3,330","$4,105",,$857,,"$1,096",$913,,,,AZ,Pinal,Florence,,"$3,690","$2,472",$410,$648,$570,,$617,,$788,$657,,,,AZ,Pinal,Florence,,"$4,378","$3,585","$2,618",$356,$438,,$167,,$629,$171,,,,AZ,Pinal,Florence,,"$4,378","$3,585","$2,618",$356,$438,,$167,,$629,$171,,,,AZ,Pinal,Florence,,"$1,770",$977,$425,$356,$438,,$92,,$362,$98,,,,,,,,,,,,,,,,
AZ,Pinal,Queen Creek,7/28/12,,"$13,883","$8,941",$631,,"$4,942",,"$4,325","$1,370",$704,$693,"$1,218",,,AZ,Pinal,Queen Creek,,"$6,425","$5,882",$415,,$543,,"$2,846",$901,$456,$463,$801,,,AZ,Pinal,Queen Creek,,"$5,430","$4,903","$3,063",,$527,,,,$869,$180,$791,,,AZ,Pinal,Queen Creek,,"$2,982","$2,455",$940,,$527,,,,$267,$55,"$1,193",,,AZ,Pinal,Queen Creek,,"$2,247","$1,720",$668,,$527,,,,$190,$39,$823,,,,,,,,,,,,,,,
AZ,Yavapai,Yavapai County,7/28/12,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$3,400","$3,400","$3,400",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Yavapai,Chino Valley,7/28/12,,"$5,815",,,$854,"$4,961",,non-utility fees suspended,,,,,,,AZ,Yavapai,Chino Valley,,$961,,,$134,$827,,,,,,,,,AZ,Yavapai,Chino Valley,,"$1,461",,,$84,"$1,377",,,,,,,,,AZ,Yavapai,Chino Valley,,"$1,461",,,$84,"$1,377",,,,,,,,,AZ,Yavapai,Chino Valley,,"$1,461",,,$84,"$1,377",,,,,,,,,,,,,,,,,,,,,
AZ,Yavapai,Prescott,7/28/12,,"$16,158","$2,551",$469,"$10,334","$3,273",,$715,$253,$525,$589,,,,AZ,Yavapai,Prescott,,"$4,703","$2,551",$469,"$1,606",$546,,$715,$253,$525,$589,,,,AZ,Yavapai,Prescott,,"$2,177",,,"$1,653",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,177",,,"$1,653",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,177",,,"$1,653",$524,,,,,,,,,,,,,,,,,,,,,
AZ,Yuma,Yuma,7/28/12,,"$2,772","$2,772",$856,,,,"$1,011",,$399,$506,,,,AZ,Yuma,Yuma,,"$2,053","$2,053",$590,,,,$797,,$267,$399,,,,AZ,Yuma,Yuma,,"$2,087","$2,087",$986,,,,,,$152,$949,,,,AZ,Yuma,Yuma,,"$1,261","$1,261",$535,,,,,,$258,$468,,,,AZ,Yuma,Yuma,,$806,$806,$339,,,,,,$171,$296,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,7/29/12,,"$77,194","$77,194","$3,879",,,,"$29,093",,$386,,"$3,336",,"$40,500",CA,Alameda,Fremont,,"$44,617","$44,617","$3,009",,,,"$21,329",,$283,,"$2,446",,"$17,550",CA,Alameda,Fremont,,"$9,769","$9,769","$8,700",,,,,,$146,,$923,,,CA,Alameda,Fremont,,"$12,477","$12,477","$10,766",,,,,,$234,,"$1,477",,,CA,Alameda,Fremont,,"$4,408","$4,408","$3,552",,,,,,$117,,$739,,,,,,,,,,,,,,,
CA,Alameda,Hayward,7/29/12,,"$35,909","$20,103","$1,200","$8,106","$7,700",,"$11,953",,,,,"$6,200",$750,CA,Alameda,Hayward,,"$21,479","$13,113",$960,"$1,513","$6,853",,"$9,653",,,,,"$2,050",$450,CA,Alameda,Hayward,,"$6,589","$6,589","$3,960","$1,037","$1,232",,,,,,,$360,,CA,Alameda,Hayward,,"$5,629","$5,629","$3,000","$1,037","$1,232",,,,,,,$360,,CA,Alameda,Hayward,,"$4,069","$4,069","$1,440","$1,037","$1,232",,,,,,,$360,,,,,,,,,,,,,,
CA,Alameda,Livermore,7/29/12,,"$40,667","$32,243","$10,172","$3,646","$4,778","$1,120","$13,334",,,,"$1,677","$5,940",,CA,Alameda,Livermore,,"$26,339","$21,825","$6,772",$851,"$3,663",$560,"$10,225",,,,"$1,298","$2,970",,CA,Alameda,Livermore,,"$28,226","$28,226","$22,958",$583,"$1,060",$560,"$1,690",,,,$5,$470,$900,CA,Alameda,Livermore,,"$23,491","$23,491","$17,814",$583,"$1,060",$560,"$2,418",,,,$7,$470,$579,CA,Alameda,Livermore,,"$14,637","$14,637","$11,281",$583,$270,$560,"$1,193",,,,$3,$470,$277,,,,,,,,,,,,,
