,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,000 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,000 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,000 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,
AZ,Pinal,Casa Grande,3/16/06,,"$8,747","$5,135",$887,,"$3,612",,,,$556,$266,$659,,"$2,767",AZ,Pinal,Casa Grande,,"$3,664","$3,433",$445,,$231,,,,$391,$187,$463,,"$1,947",AZ,Pinal,Casa Grande,,"$1,596","$1,103",$387,,$493,,,,$173,$349,$194,,,AZ,Pinal,Casa Grande,,"$1,261",$768,$129,,$493,,,,$244,$117,$278,,,AZ,Pinal,Casa Grande,,$959,$466,$68,,$493,,,,$159,$60,$179,,,
AZ,Pinal,Eloy,7/17/06,,"$4,188",,,"$1,391","$1,127",,$464,$130,,$309,$767,,,AZ,Pinal,Eloy,,"$1,468",,,$146,$113,,$336,$94,,$224,$555,,,AZ,Pinal,Eloy,,"$1,239",,,$141,$108,,,,,$385,$605,,,AZ,Pinal,Eloy,,"$1,133",,,$141,$108,,,,,$129,$755,,,AZ,Pinal,Eloy,,$806,,,$141,$108,,,,,$68,$489,,,
AZ,Pinal,Florence,3/16/06,,"$5,535",,$114,$777,$993,,"$1,205",$450,$483,$513,$745,,$255,AZ,Pinal,Florence,,"$4,991",,$57,$777,$993,,"$1,032",$385,$414,$440,$638,,$255,AZ,Pinal,Florence,,"$1,284",,$470,$83,$106,,,,$325,$122,$178,,,AZ,Pinal,Florence,,"$1,287",,$269,$83,$106,,,,$432,$161,$236,,,AZ,Pinal,Florence,,$693,,$83,$83,$106,,,,$218,$82,$121,,,
AZ,Pinal,Queen Creek,7/6/06,,"$13,503","$8,722",$459,,"$4,781",,"$5,142","$1,074",,$640,"$1,407",,,AZ,Pinal,Queen Creek,,"$6,259","$5,738",$302,,$521,,"$3,383",$706,,$421,$926,,,AZ,Pinal,Queen Creek,,"$4,616","$4,112","$2,819",,$504,,,,,$265,"$1,028",,,AZ,Pinal,Queen Creek,,"$2,963","$2,459",$860,,$504,,,,,$81,"$1,518",,,AZ,Pinal,Queen Creek,,"$1,986","$1,482",$486,,$504,,,,,$46,$950,,,
AZ,Yavapai,Yavapai County,7/6/06,,"$1,150","$1,150","$1,150",,,,,,,,,,,AZ,Yavapai,Yavapai County,,"$1,150","$1,150","$1,150",,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,AZ,Yavapai,Yavapai County,,,,,,,,,,,,,,,
AZ,Yavapai,Chino Valley,3/16/06,,"$4,081","$4,081","$2,697",,,,$487,$131,$358,$270,$138,,,AZ,Yavapai,Chino Valley,,"$2,468","$2,468","$1,442",,,,$487,$131,,$270,$138,,,AZ,Yavapai,Chino Valley,,"$1,250","$1,250",$860,,,,,,$180,$140,$70,,,AZ,Yavapai,Chino Valley,,"$2,840","$2,840","$2,450",,,,,,$180,$140,$70,,,AZ,Yavapai,Chino Valley,,"$2,680","$2,680","$2,290",,,,,,$180,$140,$70,,,
AZ,Yavapai,Prescott,3/16/06,,"$4,374","$2,364",$469,"$2,010",,,"$1,116",$253,$167,$84,$275,,,AZ,Yavapai,Prescott,,"$3,731","$2,364",$469,"$1,367",,,"$1,116",$253,$167,$84,$275,,,AZ,Yavapai,Prescott,,$447,,,$447,,,,,,,,,,AZ,Yavapai,Prescott,,$447,,,$447,,,,,,,,,,AZ,Yavapai,Prescott,,$447,,,$447,,,,,,,,,,
AZ,Yuma,Yuma,7/6/06,,"$10,095","$4,253","$1,717","$2,055","$3,787",,"$1,217",,$108,$377,$322,,$512,AZ,Yuma,Yuma,,"$3,679","$2,497","$1,182",$385,$113,,$959,,$85,$298,$253,,$404,AZ,Yuma,Yuma,,"$4,744","$4,365","$2,809",$347,$31,,,,$188,"$1,068",$259,,$41,AZ,Yuma,Yuma,,"$2,662","$2,283","$1,215",$347,$31,,,,$274,$358,$377,,$59,AZ,Yuma,Yuma,,"$1,645","$1,266",$635,$347,$31,,,,$171,$187,$236,,$37,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,3/16/06,,"$25,049","$25,049","$2,513",,,,"$19,264",,$321,,"$2,951",,,CA,Alameda,Fremont,,"$16,950","$16,950","$1,949",,,,"$12,823",,$213,,"$1,965",,,CA,Alameda,Fremont,,"$50,903","$50,903","$50,000",,,,,,$119,,$784,,,CA,Alameda,Fremont,,"$7,804","$7,804","$6,360",,,,,,$191,,"$1,253",,,CA,Alameda,Fremont,,"$2,753","$2,753","$2,030",,,,,,$96,,$627,,,
CA,Alameda,Hayward,3/16/06,,"$29,946","$21,203",,"$4,343","$4,400",,"$11,953",,,,,"$7,300","$1,950",CA,Alameda,Hayward,,"$19,643","$14,713",,"$1,013","$3,917",,"$9,653",,,,,"$3,650","$1,410",CA,Alameda,Hayward,,"$5,719","$5,719",,$695,$704,,,,,,,$360,"$3,960",CA,Alameda,Hayward,,"$4,759","$4,759",,$695,$704,,,,,,,$360,"$3,000",CA,Alameda,Hayward,,"$3,199","$3,199",,$695,$704,,,,,,,$360,"$1,440",
CA,Alameda,Livermore,3/16/06,,"$65,736","$40,764","$8,101","$16,072","$8,900","$3,368","$12,384",,,,,,"$16,911",CA,Alameda,Livermore,,"$42,517","$33,486","$5,395","$3,750","$5,281","$1,684","$9,496",,,,,,"$16,911",CA,Alameda,Livermore,,"$27,103","$27,103","$18,495","$2,572","$1,980","$1,684","$1,570",,,,,,$802,CA,Alameda,Livermore,,"$23,181","$23,181","$14,180","$2,572","$1,980","$1,684","$2,245",,,,,,$520,CA,Alameda,Livermore,,"$12,736","$12,736","$6,338","$2,572","$1,980","$1,684",,,,,,,$162,
CA,Alameda,San Leandro,3/16/06,,"$19,451","$18,226",$998,,"$1,225",,"$13,023",,,,,"$4,100",$105,CA,Alameda,San Leandro,,"$15,486","$14,486",$998,,"$1,000",,"$11,383",,,,,"$2,050",$55,CA,Alameda,San Leandro,,"$3,726","$3,726","$3,100",,$196,,,,,,,$330,$100,CA,Alameda,San Leandro,,"$3,396","$3,396","$2,770",,$196,,,,,,,$330,$100,CA,Alameda,San Leandro,,"$1,516","$1,516",$890,,$196,,,,,,,$330,$100,
CA,Contra Costa,Orinda,4/13/06,,"$20,872","$20,872","$4,718",,,"$3,880","$12,274",,,,,,,CA,Contra Costa,Orinda,,"$13,551","$13,551","$2,942",,,"$1,940","$8,669",,,,,,,CA,Contra Costa,Orinda,,"$3,930","$3,930","$1,990",,,"$1,940",,,,,,,,CA,Contra Costa,Orinda,,"$3,930","$3,930","$1,990",,,"$1,940",,,,,,,,CA,Contra Costa,Orinda,,"$3,930","$3,930","$1,990",,,"$1,940",,,,,,,,
CA,El Dorado,El Dorado Co,2/5/05,,"$43,537","$31,116","$17,754","$6,613","$5,808",,"$6,449",,"$1,800",,,"$5,008",$105,CA,El Dorado,El Dorado Co,,"$32,509","$23,193","$12,440","$4,960","$4,356",,"$6,449",,"$1,800",,,"$2,504",,CA,El Dorado,El Dorado Co,,"$9,118","$9,118","$8,360",varies,varies,,,,$398,,,$360,,CA,El Dorado,El Dorado Co,,"$9,118","$9,118","$8,360",varies,varies,,,,$398,,,$360,,CA,El Dorado,El Dorado Co,,"$4,138","$4,138","$3,380",varies,varies,,,,$398,,,$360,,
