State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,
AZ,Yavapai,Prescott,1/30/05,,"$4,374","$2,364",$469,"$2,010",,,"$1,116",$253,$167,$84,$275,,,AZ,Yavapai,Prescott,,"$3,731","$2,364",$469,"$1,367",,,"$1,116",$253,$167,$84,$275,,,AZ,Yavapai,Prescott,,$447,,,$447,,,,,,,,,,AZ,Yavapai,Prescott,,$447,,,$447,,,,,,,,,,AZ,Yavapai,Prescott,,$447,,,$447,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,2/5/05,,"$23,613","$23,613","$2,220",,,,"$18,446",,$288,,"$2,659",,,CA,Alameda,Fremont,,"$15,962","$15,962","$1,722",,,,"$12,279",,$191,,"$1,770",,,CA,Alameda,Fremont,,"$5,233","$5,233","$4,420",,,,,,$107,,$706,,,CA,Alameda,Fremont,,"$6,921","$6,921","$5,620",,,,,,$172,,"$1,129",,,CA,Alameda,Fremont,,"$2,681","$2,681","$2,030",,,,,,$86,,$565,,,
CA,Alameda,Hayward,2/5/05,,"$29,946","$21,203",,"$4,343","$4,400",,"$11,953",,,,,"$7,300","$1,950",CA,Alameda,Hayward,,"$19,643","$14,713",,"$1,013","$3,917",,"$9,653",,,,,"$3,650","$1,410",CA,Alameda,Hayward,,"$5,719","$5,719",,$695,$704,,,,,,,$360,"$3,960",CA,Alameda,Hayward,,"$4,759","$4,759",,$695,$704,,,,,,,$360,"$3,000",CA,Alameda,Hayward,,"$3,199","$3,199",,$695,$704,,,,,,,$360,"$1,440",
CA,Alameda,Livermore,2/5/05,,"$65,736","$40,764","$8,101","$16,072","$8,900","$3,368","$12,384",,,,,,"$16,911",CA,Alameda,Livermore,,"$42,517","$33,486","$5,395","$3,750","$5,281","$1,684","$9,496",,,,,,"$16,911",CA,Alameda,Livermore,,"$27,103","$27,103","$18,495","$2,572","$1,980","$1,684","$1,570",,,,,,$802,CA,Alameda,Livermore,,"$23,181","$23,181","$14,180","$2,572","$1,980","$1,684","$2,245",,,,,,$520,CA,Alameda,Livermore,,"$12,736","$12,736","$6,338","$2,572","$1,980","$1,684",,,,,,,$162,
CA,Alameda,San Leandro,2/6/05,,"$10,781","$9,745",$917,,"$1,036",,"$4,728",,,,,"$4,100",,CA,Alameda,San Leandro,,"$7,588","$6,742",$917,,$846,,"$3,775",,,,,"$2,050",,CA,Alameda,San Leandro,,"$3,346","$3,346","$2,850",,$166,,,,,,,$330,,CA,Alameda,San Leandro,,"$3,046","$3,046","$2,550",,$166,,,,,,,$330,,CA,Alameda,San Leandro,,"$1,296","$1,296",$800,,$166,,,,,,,$330,,
CA,Contra Costa,Orinda,2/5/05,,"$12,842","$12,842","$4,289",,,"$3,520","$5,033",,,,,,,CA,Contra Costa,Orinda,,"$8,217","$8,217","$2,674",,,"$1,760","$3,783",,,,,,,CA,Contra Costa,Orinda,,"$3,570","$3,570","$1,810",,,"$1,760",,,,,,,,CA,Contra Costa,Orinda,,"$3,570","$3,570","$1,810",,,"$1,760",,,,,,,,CA,Contra Costa,Orinda,,"$3,570","$3,570","$1,810",,,"$1,760",,,,,,,,
CA,El Dorado,El Dorado Co,2/5/05,,"$42,897","$30,476","$17,754","$6,613","$5,808",,"$6,449",,"$1,265",,,"$5,008",,CA,El Dorado,El Dorado Co,,"$31,974","$22,658","$12,440","$4,960","$4,356",,"$6,449",,"$1,265",,,"$2,504",,CA,El Dorado,El Dorado Co,,"$9,118","$9,118","$8,360",varies,varies,,,,$398,,,$360,,CA,El Dorado,El Dorado Co,,"$9,118","$9,118","$8,360",varies,varies,,,,$398,,,$360,,CA,El Dorado,El Dorado Co,,"$4,138","$4,138","$3,380",varies,varies,,,,$398,,,$360,,
CA,Fresno,Clovis,2/5/05,,"$12,594","$6,317","$4,293","$2,052","$4,225",,"$1,396",,$306,$100,,,$222,CA,Fresno,Clovis,,"$6,669","$5,486","$3,578",$479,$704,,"$1,396",,$306,$100,,,$106,CA,Fresno,Clovis,,"$8,265","$7,261","$6,571",$328,$676,,$690,,,,,,,CA,Fresno,Clovis,,"$5,637","$4,633","$3,943",$328,$676,,$690,,$0,$0,$0,,,CA,Fresno,Clovis,,"$8,265","$7,261","$6,571",$328,$676,,$690,,$0,$0,$0,,,
CA,Kern,Bakersfield,2/5/05,,"$14,345","$11,845","$5,780",,"$2,500",,"$1,275",,,,,"$4,480",$310,CA,Kern,Bakersfield,,"$8,002","$6,392","$2,774",,"$1,610",,"$1,275",,,,,"$2,240",$103,CA,Kern,Bakersfield,,"$6,188","$5,788","$5,239",,$400,,,,,,,$360,$190,CA,Kern,Bakersfield,,"$2,272","$1,872","$1,398",,$400,,,,,,,$360,$114,CA,Kern,Bakersfield,,"$1,974","$1,574","$1,025",,$400,,,,,,,$360,$190,
