State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other
AZ,Yavapai,Chino Valley,9/12/09,,"$10,353","$4,538","$3,028",$854,"$4,961",,$546,$148,$358,$303,$155,,,AZ,Yavapai,Chino Valley,,"$4,091","$3,130","$1,620",$134,$827,,$546,$148,$358,$303,$155,,,AZ,Yavapai,Chino Valley,,"$2,811","$1,350",$940,$84,"$1,377",,,,$180,$160,$70,,,AZ,Yavapai,Chino Valley,,"$2,811","$1,350",$940,$84,"$1,377",,,,$180,$160,$70,,,AZ,Yavapai,Chino Valley,,"$4,541","$3,080","$2,670",$84,"$1,377",,,,$180,$160,$70,,
AZ,Yavapai,Prescott,9/12/09,,"$17,303","$3,227",$469,"$10,803","$3,273",,"$1,116",$253,$525,$589,$275,,,AZ,Yavapai,Prescott,,"$6,294","$3,227",$469,"$2,521",$546,,"$1,116",$253,$525,$589,$275,,,AZ,Yavapai,Prescott,,"$2,721",$469,$469,"$1,728",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,721",$469,$469,"$1,728",$524,,,,,,,,,AZ,Yavapai,Prescott,,"$2,721",$469,$469,"$1,728",$524,,,,,,,,
AZ,Yuma,Yuma,9/12/09,,"$17,700","$5,920","$2,196","$5,203","$6,577",,"$1,770",,$245,$561,$389,,$759,AZ,Yuma,Yuma,,"$6,351","$4,446","$1,512",$809,"$1,096",,"$1,395",,$193,$442,$306,,$598,AZ,Yuma,Yuma,,"$6,687","$5,027","$3,367",$607,"$1,052",,,,$182,"$1,115",$308,,$55,AZ,Yuma,Yuma,,"$4,169","$2,509","$1,337",$607,"$1,052",,,,$267,$372,$452,,$81,AZ,Yuma,Yuma,,"$3,078","$1,418",$714,$607,"$1,052",,,,$169,$199,$285,,$51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Alameda,Fremont,9/12/09,,"$30,608","$30,608","$3,879",,,,"$23,698",,$314,,"$2,717",,,CA,Alameda,Fremont,,"$27,067","$27,067","$3,009",,,,"$21,329",,$283,,"$2,446",,,CA,Alameda,Fremont,,"$9,769","$9,769","$8,700",,,,,,$146,,$923,,,CA,Alameda,Fremont,,"$12,477","$12,477","$10,766",,,,,,$234,,"$1,477",,,CA,Alameda,Fremont,,"$4,408","$4,408","$3,552",,,,,,$117,,$739,,
CA,Alameda,Hayward,9/12/09,,"$29,901","$19,143","$1,200","$4,610","$6,148",,"$11,953",,,,,"$5,240",$750,CA,Alameda,Hayward,,"$21,306","$13,683",$960,"$2,151","$5,472",,"$9,653",,,,,"$2,620",$450,CA,Alameda,Hayward,,"$5,999","$5,999","$3,960",$695,$984,,,,,,,$360,,CA,Alameda,Hayward,,"$5,039","$5,039","$3,000",$695,$984,,,,,,,$360,,CA,Alameda,Hayward,,"$3,479","$3,479","$1,440",$695,$984,,,,,,,$360,
CA,Alameda,Livermore,9/12/09,,"$36,523","$28,889","$8,965","$3,435","$4,199",$960,"$13,704",,,,,"$5,260",,CA,Alameda,Livermore,,"$61,178","$57,156","$5,966",$802,"$3,220",$460,"$10,509",,,,,"$2,630","$37,591",CA,Alameda,Livermore,,"$29,817","$29,817","$20,197",$550,"$5,573",$460,"$1,737",,,,,$420,$880,CA,Alameda,Livermore,,"$25,753","$25,753","$15,699",$550,"$5,573",$460,"$2,485",,,,,$420,$566,CA,Alameda,Livermore,,"$17,819","$17,819","$9,947",$550,"$5,573",$460,$693,,,,,$420,$176
CA,Alameda,San Leandro,9/12/09,,"$23,445","$22,153","$1,106",,"$1,292",,"$13,858",,,,,"$5,940","$1,249",CA,Alameda,San Leandro,,"$18,435","$17,380","$1,106",,"$1,055",,"$12,113",,,,,"$2,970","$1,191",CA,Alameda,San Leandro,,"$4,237","$4,237","$3,440",,$207,,,,,,,$470,$120,CA,Alameda,San Leandro,,"$3,867","$3,867","$3,070",,$207,,,,,,,$470,$120,CA,Alameda,San Leandro,,"$1,787","$1,787",$990,,$207,,,,,,,$470,$120
CA,Contra Costa,Orinda,9/12/09,,"$17,456","$17,456","$5,637",,,$464,"$11,355",,,,,,,CA,Contra Costa,Orinda,,"$13,831","$13,831","$3,516",,,"$2,320","$7,995",,,,,,,CA,Contra Costa,Orinda,,"$4,690","$4,690","$2,370",,,"$2,320",,,,,,,,CA,Contra Costa,Orinda,,"$4,690","$4,690","$2,370",,,"$2,320",,,,,,,,CA,Contra Costa,Orinda,,"$4,690","$4,690","$2,370",,,"$2,320",,,,,,,
CA,El Dorado,El Dorado Co,9/12/09,,"$44,989","$44,989","$26,014",,,,"$9,806",,"$2,320",,,"$6,849",,CA,El Dorado,El Dorado Co,,"$29,621","$29,621","$16,934",,,,"$8,103",,"$1,160",,,"$3,424",,CA,El Dorado,El Dorado Co,,"$11,771","$11,771","$10,191",,,,,,"$1,160",,,$420,,CA,El Dorado,El Dorado Co,,"$4,188","$4,188","$2,608",,,,,,"$1,160",,,$420,,CA,El Dorado,El Dorado Co,,"$3,240","$3,240","$1,660",,,,,,"$1,160",,,$420,
CA,Fresno,Clovis,9/12/09,,"$25,585","$13,639","$8,240","$4,171","$7,775",,"$3,501",$572,$625,$100,,,$601,CA,Fresno,Clovis,,"$13,921","$11,652","$6,867",$973,"$1,296",,"$3,501",,$661,$100,,,$523,CA,Fresno,Clovis,,"$17,360","$15,449","$12,611",$667,"$1,244",,"$1,590",,$625,$100,,,$523,CA,Fresno,Clovis,,"$17,391","$15,480","$12,611",$667,"$1,244",,"$1,590",,$625,$100,,,$554,CA,Fresno,Clovis,,"$17,391","$15,480","$12,611",$667,"$1,244",,"$1,590",,$625,$100,,,$554
CA,Kern,Bakersfield,9/12/09,,"$24,661","$20,961","$12,870",,"$3,700",,"$1,615",,,,,"$5,940",$536,CA,Kern,Bakersfield,,"$13,332","$10,977","$6,213",,"$2,355",,"$1,615",,,,,"$2,970",$179,CA,Kern,Bakersfield,,"$8,923","$8,331","$7,643",,$592,,,,,,,$360,$328,CA,Kern,Bakersfield,,"$2,944","$2,352","$1,795",,$592,,,,,,,$360,$197,CA,Kern,Bakersfield,,"$2,576","$1,984","$1,296",,$592,,,,,,,$360,$328
CA,Los Angeles,Lancaster,9/12/09,,"$13,094","$13,094","$2,654",,,"$4,345","$3,369",,"$1,430",,$119,$800,$377,CA,Los Angeles,Lancaster,,"$10,535","$10,535","$1,451",,,"$4,354","$3,119",,$715,,$119,$400,$377,CA,Los Angeles,Lancaster,,"$3,102","$3,102","$1,640",,,$700,,,$715,,$47,,,CA,Los Angeles,Lancaster,,"$3,102","$3,102","$1,640",,,$700,,,$715,,$47,,,CA,Los Angeles,Lancaster,,"$2,102","$2,102",$640,,,$700,,,$715,,$47,,
CA,Los Angeles,Long Beach,9/12/09,,"$13,325","$13,325","$1,125",,,,"$4,221",,$496,$703,,"$6,780",,CA,Los Angeles,Long Beach,,"$8,690","$8,690","$1,125",,,,"$3,260",,$378,$537,,"$3,390",,CA,Los Angeles,Long Beach,,"$4,129","$4,129","$3,000",,,,,,$267,$442,,$420,,CA,Los Angeles,Long Beach,,"$3,283","$3,283","$2,000",,,,,,$325,$538,,$420,,CA,Los Angeles,Long Beach,,"$1,870","$1,870","$1,100",,,,,,$132,$218,,$420,
CA,Monterey,Salinas,9/12/09,,"$10,854","$6,677","$3,020",,"$4,177","$1,347","$2,310",,,,,,,CA,Monterey,Salinas,,"$8,226","$4,467","$2,029",,"$3,759",$898,"$1,540",,,,,,,CA,Monterey,Salinas,,"$17,402","$13,840","$12,968",,"$3,561",$872,,,,,,,,CA,Monterey,Salinas,,"$7,410","$3,848","$3,325",,"$3,561",$523,,,,,,,,CA,Monterey,Salinas,,"$6,539","$2,977","$2,105",,"$3,561",$872,,,,,,,
CA,Napa,St. Helena,9/12/09,,"$48,840","$28,360","$7,220","$11,340","$9,140","$4,680",,,,"$2,200","$4,780","$4,480","$5,000",CA,Napa,St. Helena,,"$19,140","$13,040","$2,470","$2,460","$3,640","$2,340",,,,"$1,100","$2,390","$2,240","$2,500",CA,Napa,St. Helena,,"$59,010","$42,180","$32,330","$9,370","$7,460","$2,340",,,,"$1,100","$1,480",$360,"$4,570",CA,Napa,St. Helena,,"$26,400","$17,690","$8,290","$4,850","$3,860","$2,340",,,,"$1,100","$1,990",$360,"$3,610",CA,Napa,St. Helena,,"$23,090","$11,540","$5,250","$6,430","$5,120","$2,340",,,,"$1,100","$1,380",$360,"$1,110"
CA,Orange,Brea,9/12/09,,"$18,071","$4,490","$3,406","$13,581",,,,,"$1,029",$55,,,,CA,Orange,Brea,,"$6,696","$3,527","$2,756","$3,169",,,,,$731,$40,,,,CA,Orange,Brea,,"$9,859","$7,686","$7,440","$2,173",,,,,$191,$55,,,,CA,Orange,Brea,,"$9,957","$7,784","$7,440","$2,173",,,,,$267,$77,,,,CA,Orange,Brea,,"$9,791","$7,618","$7,440","$2,173",,,,,$138,$40,,,
CA,Placer,Rocklin,9/12/09,,"$16,907","$16,907","$7,357",,,$293,"$2,696",,,,"$6,561",,,CA,Placer,Rocklin,,"$10,931","$10,931","$4,588",,,$116,"$2,368",,,,"$3,859",,,CA,Placer,Rocklin,,"$12,429","$12,429","$10,923",,,$106,,,,,"$1,400",,,CA,Placer,Rocklin,,"$14,965","$14,965","$12,951",,,$64,,,,,"$1,950",,,CA,Placer,Rocklin,,"$7,731","$7,731","$6,655",,,$106,,,,,$970,,
